Class_70,Class_71,Class_72,Class_74,Class_250,Class_75,Class_76,Class_77,Class_sum,Class_254,Class_131,Class_2,Class_1,Class_4,Class_3,Class_6,Class_5,Class_60,Class_61,Class_240,Class_66,Class_67,Class_122,Class_243,Class_68,Class_123,Class_244,Class_69,Class_241,Class_121,Class_242,Class_247,Class_124,Class_245,Class_246,Class_249,Class_92,Class_190,Class_195,Class_10,Class_11,Class_12,Class_111,Class_232,Class_13,Class_112,Class_233,Class_14,Class_231,Class_236,Class_237,Class_238,Class_221,Class_222,Class_220,Class_225,Class_226,Class_224,Class_229,Class_227,Class_30,Class_31,Class_32,Class_33,Class_34,Class_35,Class_211,Class_36,Class_37,Class_176,Class_38,Class_214,Class_39,Class_215,Class_212,Class_213,Class_218,Class_219,Class_216,Class_217,Class_21,Class_22,Class_23,Class_24,Class_25,Class_26,Class_27,Class_28,Class_204,Class_29,Class_207,Class_208,Class_205,Class_206,Class_209,Class_50,Class_51,Class_52,Class_53,Class_152,Class_54,Class_55,Class_56,Class_57,Class_58,Class_59,Class_41,Class_42,Class_141,Class_43,Class_44,Class_45,Class_46,Class_47,Class_142,Class_48,Class_143,Class_49,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
1.25,0,0,0,0,0,0,0,26440.05,52.56,86.19,0,2145.66,13.1,0,0,2149.42,0.63,62.49,0.14,0,1.11,1233.4,0,2.68,544.97,0,0.21,5.6,2529.73,0.07,0,185.69,0,0,0,0,3050.85,970.73,0,0,0,926.51,0,0,0,0,0,0,2.59,4.8,0,0,0,0,5.36,0.56,0,0.21,0,0,0,0,0,0,0,0,46.21,673.99,1330.23,0,0,0,0,0,0,0.07,0,0.56,0,3.07,0,0,21.84,0,558.56,1.04,0.62,0,0.28,0,0,0.48,0,0.07,0,0,0,0.2,88.42,0,0,0.07,0,0.14,16.21,0,3.26,9198.54,2.46,0.14,0,0,0,475.07,10.7,31.31,0,01714934,24,6979966958,00,MD,24,A,+38.9466584,5,3,Maryland,-076.6744939,G4000,25151100280,00000000000000000004
1.45,0,0,0.58,0,0,0,0,128412.48000000003,13.02,345.25,1960.79,4576.19,8.69,0,0.07,7984.44,0,690.6,12.63,0,1.75,2678.61,1.09,39.45,1005.41,0,3.43,0,8334.73,9.01,0.15,298.19,0,0,0,0.59,19628.38,1648.76,336.11,610.16,0,2242.79,0,0,0,0,0,0,0.95,6.21,0.8,0,1.25,0,16.76,0.66,0,2.75,0,0,0,0,0,6.77,0,0,3.21,2887.79,5680.55,0,0.29,0,0,0,0,0,1.4,0.44,0,0.95,0,0,100.22,0,1740.08,18.83,1.46,0,8.42,0,0,1.24,0,1.1,2.63,0,0,4.58,6816.69,2.34,0,0,7.77,0,149.81,0.22,0.81,44090.19,4.06,2.64,0,235.56,0.22,14131.52,5.41,43.36,0.22,01027616,37,13466071395,00,NC,37,A,+35.5397100,5,3,North Carolina,-079.1308636,G4000,125923656064,00000000000000000008
0,0,0,0,0,0,0,0,5259.989999999999,49.23,25.2,0,969.15,0.63,0,0,734.57,0,2.66,0.07,0,0.7,243.76,0.07,0.77,133.06,0,0,2.26,465.25,0,0,44.73,0,0,0,0,1197.6,384.73,0,0,0,170.08,0,0,0,0,0,0,0,5.03,0,0,0,0,1.61,0,0,1.05,0,0,0,0,0,0,0,0,3.2,54.82,73.87,0,0,0,0,0,0,0,0,0.07,0,0.49,0,0,2.87,0,158.87,0.14,0,0,0.63,0,0,0,0,0.07,0.98,0,0,0.71,71.38,0.07,0,0,0,0,10.72,0,17.15,309.69,2.44,0,0,0,0,99.7,12.75,7.16,0,01779781,10,1399985648,00,DE,10,A,+38.9985661,5,3,Delaware,-075.4416440,G4000,5045925646,0000000000000000000b
0,0,0,1564.71,0,0,0,0,152462.44,0,274.14,9293.89,1639.06,39.29,0,1.81,359.34,0,20.07,10.43,0,30.24,3445.68,0.69,1.05,1028.8,0,6.81,2.73,8857.74,164.22,0,520.85,0,0,0,0.6,22746.51,2120.47,2774.51,30.74,0,2530.83,0,0,0,0,0,0,8.7,0,58.66,0,0.15,0,8.19,4.08,0,0,0,0,0.59,0,0,0,0,0.46,0.69,4182.92,9806.48,0,0.38,0,0,0.08,0,0,0.23,0.23,0,0.46,0,0,70.31,0,90.42,60.52,34.7,0,55.53,0,0,0.31,0.23,2.0,1.22,0,0,4.54,8386.26,0.08,0.15,0,0.68,0.6,132.34,0,0.31,33129.61,1.23,0,0,3.73,0,38697.22,15.57,233.12,4.1,01705317,13,4422936154,00,GA,13,A,+32.6295789,5,3,Georgia,-083.4235109,G4000,149482048342,00000000000000000015
0,0,0,3.36,0,0,0,0,80309.41999999995,2.68,183.32,1412.9,1656.88,9.81,0.07,0,2204.59,0,304.24,14.37,0,77.4,1600.62,0.08,0,578.31,0,0.07,2.09,4206.95,0.68,0,183.03,0,0,0,0,17720.87,2143.85,303.08,18.66,0,2471.13,0,0,0,0,0,0,4.67,0,9.94,0.66,0.22,0,2.09,2.01,0,0,0,0,1.04,0,0,0,0,0,0,1131.75,5850.92,0,0.9,0,0,0,0,0,0.9,1.04,0,0,0,0,33.78,0,263.26,14.29,11.35,0,6.31,0.15,0,0.3,0,1.12,0.37,0,0,11.19,5746.64,0.07,0,0,0,0.37,128.35,0,0.82,12530.51,7.04,0.15,0,3.14,0,19421.44,4.43,19.16,0,01779799,45,5075218778,00,SC,45,A,+33.8741776,5,3,South Carolina,-080.8542639,G4000,77864918488,0000000000000000001b
4.95,0,0,0,0,0,0,0,103896.40000000002,25.23,196.65,491.37,2216.12,10.25,0,0.21,2715.79,0,44.49,1.57,0,0.07,2189.43,0.86,22.04,967.61,0,1.55,0,5009.37,0,0,242.03,0,0,0,1.0,4426.37,708.82,100.01,37.27,0,1571.03,0,0,0,0,0,0,0.92,12.43,0.14,0,0,0,9.19,0,0,2.56,0,0,0.14,0,0,0.57,0,0,44.21,6487.24,7869.09,0,0.85,0,0,0,0,0,0,0,0,5.15,0,0,50.09,0,573.88,3.48,1.07,0,1.92,0,0,0.57,0,0,0,0,0,0,2239.13,0,0,0,0,0,16.38,0,2.35,57215.66,14.67,0,0,0,0,8105.46,0,255.16,0,01779803,51,8528531774,00,VA,51,A,+37.5222512,5,3,Virginia,-078.6681938,G4000,102257717110,00000000000000000034
0,0,0,0,0,0,0,0,177.01999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,43.61,0,0,52.44,0,0,0,25.59,0,0,19.35,0,0,0,0,1.71,0.14,0,0,0,17.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.44,0,0,0,0,0,0,0,0,0,01702382,11,18687198,00,DC,11,A,+38.9041031,5,3,District of Columbia,-077.0172290,G4000,158340391,00000000000000000035
0,0,0,41.6,0,0,0,0,133847.86,0.3,209.83,2781.63,1103.59,13.07,0,0,1258.14,0,641.22,8.13,0,0,1834.96,0,0.15,648.36,0,0,0.23,6298.26,0.15,0,196.61,0,0,0,4.91,9158.48,170.33,787.25,0,0,3039.02,0,0,0,0,0,0,0.07,0,5.18,0,0,0,0.84,1.33,0,0.07,0,0,0,0,0,0,0,0,0.75,3241.42,12420.08,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,0,411.78,16.85,11.9,0,30.54,0,0,4.2,0,0,6.92,0,0,0.03,15789.91,0,0,0,2.27,0.61,153.12,0,0,38062.38,0.99,0.15,0,3.54,0,32756.36,1.39,2715.16,0,01779775,01,4593327154,00,AL,01,A,+32.7396323,6,3,Alabama,-086.8434593,G4000,131174048583,00000000000000000016
0.0,0,0,0,0,0,0,0,109151.91000000002,3.19,75.62,1478.67,2968.58,3.89,2.75,0,7042.86,0.15,30.68,2.91,0,0.81,2059.81,0,0,839.32,0,0,0.07,5425.1,0,0,307.31,0,0,0,0,2740.96,8.05,0,12.67,0,2590.06,0,1.98,0,0,0,0,0.66,0,0.15,0,0.15,0,14.09,0.22,0,0.36,0,0,0.72,0,0,0,0,0,4.51,2137.71,16514.23,0,0,0,0,0,0,0,0,0,0,0,0,0,19.92,0,1199.35,1.9,0.29,0,0.51,0,0,1.54,0,0,0,0,0,3.58,2328.35,4.35,0,0,0,0.22,26.95,0,0.44,56879.68,0,0.44,0,0.15,0,3528.19,0,887.81,0,01325873,47,2350123465,00,TN,47,A,+35.8608030,6,3,Tennessee,-086.3499896,G4000,106802728188,0000000000000000001d
0,0,0,0,0,0,0,0,104654.28,2.73,396.93,0,5451.9,5.33,0,0.07,6906.02,0,21.53,1.37,0,0,1224.85,0,0,550.32,0,0,0,3207.68,0,0,208.91,0,0,0,0,618.08,106.69,0,66.64,0,1904.89,0,15.58,0,0,0,0,0.14,0.22,0,0,0,0,8.44,0.07,0,0,0,0,1.36,0,0,0.79,0,0,76.69,4995.74,14585.98,0,0,0,0,0,0,0,0,0,0,0,0,0,15.08,0,1442.68,0.5,0,0,0.07,0,0,0.14,0,0,0,0,0,0,28.57,0,0,0,0,0.35,5.34,0,0,61149.1,0,0.64,0,0,0,683.08,0,969.78,0,01779786,21,2375337755,00,KY,21,A,+37.5336844,6,3,Kentucky,-085.2929801,G4000,102279490672,00000000000000000021
0,0,0,18.74,0,0,0,0,123564.09,0,141.52,2663.29,1989.38,4.69,497.22,0,12301.7,0.82,257.09,1.15,0,0,1079.23,0,0,429.97,0,0,0,5094.97,1.0,0,114.38,0,0,0,43.61,17593.91,398.16,73.15,0,0,2574.2,0,0,0,0,0,0,0,0,2.62,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,662.59,12028.18,0,0,0,0,0,0,0,0.23,0,0,0,0,0,43.79,0,82.15,0,0.99,0,0.91,0,0,0,0,0.15,0,0,0,1.93,16796.75,0,0,0,0,0.08,15.03,0,0,19256.75,0,1.04,0,100.07,0,24354.76,1.92,4935.67,0,01779790,28,3926919758,00,MS,28,A,+32.6864714,6,3,Mississippi,-089.6561377,G4000,121533519481,0000000000000000002c
0,0,0,166.6,0,0,0,0,121469.53,0,184.8,765.92,2463.39,14.48,2150.39,0.98,7821.56,0,1961.47,1.93,0,0,3324.93,0,0,540.37,0,0,0.08,2556.58,0,0,271.48,0,0,0,939.73,27184.05,12567.07,6.88,0,0,10657.22,0,0,0,0,0,0,0,0,2.75,0.08,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0.08,725.38,7212.6,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,0,19.61,1.39,12.19,0,0.69,0,0,0,0,0,0,0,0,0.91,12039.7,0,0,0,0,5.98,6.14,0,0,518.38,0,0,2326.14,29.51,0,24118.08,0,856.9,0,01629543,22,23753621895,00,LA,22,A,+30.8634368,7,3,Louisiana,-091.7987173,G4000,111897594374,00000000000000000014
0,0,25.06,232.01,0,0,0,0,686081.4400000001,0,2080.09,35124.67,9164.83,7996.98,1252.2,45.09,567.18,1.6,4467.7,0,0,0.16,8703.51,2.41,0,4934.39,0,0.37,0,17611.14,0,0.08,1957.74,0,0,0,28.75,18641.01,4972.53,188.46,0,0,7690.77,0,0,0,0,0,0,170.53,0.22,294.03,0,0.16,0,82.53,13.53,1.42,1.11,0,0,18.27,0,0,0,0,0.47,448.25,6423.84,146357.31,0,0,0,0,7.71,0.24,0,5.03,2.79,0,34.38,0,189.33,23044.1,0,24.16,110.54,1851.44,0,26.21,0,0,230.73,0,0,2.27,0,0,57.15,313462.3,0,0,0,83.41,0.3,247.1,0.77,4.22,26317.22,14.43,12.22,211.64,0.07,0,36443.73,11.88,4171.7,13.97,01779801,48,19006305260,00,TX,48,A,+31.4347032,7,3,Texas,-099.2818238,G4000,676653171537,00000000000000000019
0,0,0,16.53,0,0,0,0,181036.99,1.15,233.31,2592.64,1117.31,1106.76,0,23.34,1713.93,0,1853.63,2.24,0,0.15,1308.34,0,0,577.13,0,0,0,6684.83,0,0,304.44,0,0,0,0,445.33,56.78,22.5,0,0,3356.41,0,0,0,0,0,0,200.13,1.22,492.6,0,0,0,50.32,0.84,0,0.65,0,0,180.8,0,0,0,0,0,715.69,477.68,86756.17,0,0,0,0,0,0,0,0,0.58,0,72.79,0,0,20169.76,0,829.73,761.97,33.15,0,13.35,0,0,210.64,0,0,0,0,0,5.25,7385.73,0,0,0,119.72,4.83,79.78,0,3.22,35228.38,4.93,7.46,0,0,0.07,5605.61,0,207.19,0,01102857,40,3374587997,00,OK,40,A,+35.5900512,7,3,Oklahoma,-097.4868149,G4000,177662925723,0000000000000000001c
0,0,0,15.12,0,0,0,0,137731.04000000004,0,82.1,1929.7,2528.29,18.67,5732.33,0.15,16342.37,0,966.09,8.79,0,0,1615.76,0,0,392.25,0,0,0,3258.51,0,0,145.21,0,0,0,24.6,12226.64,63.69,76.81,0,0,3041.58,0,0,0,0,0,0,0.94,0,2.42,0,0,0,6.84,0.23,0,0,0,0,0,0,0,0,0,0,0,429.41,19248.57,0,0,0,0,0,0,0,0.07,0,0,0,0,0,125.88,0,467.34,0.07,0.88,0,0,0,0,0,0,0,0,0,0,1.03,3100.29,1.65,0,0,0,0,15.56,0,0,38185.25,0,0,0,10.22,0,26618.7,2.97,1044.06,0,00068085,05,2962859592,00,AR,05,A,+34.8955256,7,3,Arkansas,-092.4446262,G4000,134768872727,0000000000000000002b
0,0,0,0,0,0,0,0,216439.86000000007,0,2887.45,0,1798.02,1.52,0,11.58,0,0,1376.59,0,0,10.88,648.22,0,1.86,255.19,0,1.17,0,1267.65,0,3.39,16.99,0,4.56,0,0,618.89,597.1,0,0,0,2160.22,0,1.19,74.6,0,0.86,0,0,3.45,0,0,0,0,1.32,0,0,0,2.14,0.32,168.11,3.62,102.84,1.23,63.19,0,6931.75,1257.76,18545.71,0,0,0,0,0,0,0,0.24,0.07,0,2351.91,23.87,1978.69,3136.33,3.59,0,21.35,52.13,0,0.56,0,0,90.92,5.94,0,0,0,118.78,48.74,93190.55,0.26,0,23.65,68.78,1.73,243.86,693.84,839.6,677.9,1372.67,10.33,0,0.26,2.1,72610.94,0.06,2.59,48.25,01779783,16,2391722557,00,ID,16,A,+44.3484222,8,4,Idaho,-114.5588538,G4000,214049787659,00000000000000000006
0,0,0,186.37,0,0,0,0,314918.60000000003,0,2670.31,417.85,478.97,507.82,0,0,1.24,0.01,1987.79,0,0,0,703.52,0.08,0.08,261.76,0,0,0,847.25,0,0,26.03,0,0,0,0,560.93,169.99,11.27,0,0,388.3,0,11.11,0,0,0,0,108.77,24.08,20.17,0,0,0,69.46,0,0,5.29,0.91,0,0,0,0,0,0.84,0,920.58,379.7,71568.48,0,0,0,0,0,0,0,0,21.03,0,12.91,3.85,3.21,1827.96,0,0,4.34,16.04,0.08,19.84,0,0,45.1,0.15,0,0,0,0,0,177063.99,0,0,0,1.66,0,0.52,0,30.37,753.69,17.32,2.56,0,0,0,52662.58,1.75,68.76,31.93,00897535,35,728776523,00,NM,35,A,+34.4346843,8,4,New Mexico,-106.1316181,G4000,314196306401,0000000000000000000c
0,0.41,0,0,0,0,0,0,219884.60000000003,0,22702.65,0,300.22,9.92,0,0.14,0,0,1188.78,0,16.79,3.26,947.37,0,1.45,574.08,0,0,0,668.32,0,0,194.41,0,0,0,0,576.55,655.75,0,0,0,6093.27,0,0,0,0,0,0,0,0.35,0,0,0.07,0,0.42,0,0,0.2,0,0,0,0,52.72,0,4.29,0,3045.42,734.7,9875.87,0,0,0,0,0,0,0,0,0,0,57.95,0,20.34,692.42,0,0,0.42,23.07,0,0,0,0,31.32,0,0,0,0,0.07,0.94,115871.34,0,0,0,3.6,0,68.4,0,9.54,11975.28,1.57,0.14,0,0,0.07,43028.53,0.21,445.3,6.68,01455989,49,6998824394,00,UT,49,A,+39.3349925,8,4,Utah,-111.6563326,G4000,212886221680,00000000000000000017
0,0,0,0,0,0,0,0.77,269604.06,0,4044.2,0,6743.85,1457.37,0,135.24,51.28,0,9088.83,0,0.63,10.4,1787.28,0.42,1.12,824.86,0,0.07,0,2498.5,0,0,186.54,0,0,0,0,1800.78,619.01,0,0,0,940.05,0,3.08,639.74,0,0,0,17.6,0,0,0,1.27,0,19.29,2.9,0,3.1,0,2.53,9.1,0,32.69,0,0,0,5007.56,1833.38,84054.84,0,0,0,0,0,0,0,0,0,0,226.7,3.13,17.55,9591.56,0,0,21.12,237.26,0,1235.49,0,0,112.26,3.56,0,0,0,0,14.81,54798.74,0,0,0.07,0,0,10.97,78.27,113.11,20080.82,282.22,5.61,0,0,0,60319.57,1.34,629.76,1.86,01779779,08,1181621593,00,CO,08,A,+38.9938482,8,4,Colorado,-105.5083165,G4000,268422891711,0000000000000000001a
0,0,0,0,0,0,0,0,253326.32,0,1862.68,0,383.7,24.02,0,22.35,0.6,0,612.42,0,0,0,290.06,0,0,146.93,0,0,0,570.01,0,0,11.52,0,0,0,0,1661.13,708.44,0,0,0,1630.89,0,0,54.97,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2269.42,4497.3,46516.24,0,0,0,0,0,0,0,0,0,0,280.29,0.77,17.96,520.26,0,0,1.17,47.4,0,80.7,0,0,12.32,0,0,0,0,0.19,2.75,159617.01,0,0,0,0.81,1.93,19.2,137.79,120.3,702.57,1.47,0.26,0,0,0,30457.9,0,40.25,0,01779807,56,1867670745,00,WY,56,A,+42.9896591,8,4,Wyoming,-107.5443922,G4000,251458544898,0000000000000000001e
0,0,0,0,0,0,0,0,286376.24,0,8148.62,0,17.8,0,0,0,0,0,160.33,0,0,0,624.55,0,0,664.02,0,0,0,287.83,0,0,183.68,0,0,0,0,855.34,546.99,0,0,0,1318.83,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1272.43,599.11,5687.13,0,0,0,0,0,0,0,0,0,0,7.27,0,5.15,81.11,0,0,1.4,0.84,0,0,0,4.05,18.79,0,0,0,0,0,0.07,235061.69,0,0,0,0.34,0,0,0,0,567.75,0,2.4,0,0,0,30235.48,0,22.37,0,01779793,32,2047206072,00,NV,32,A,+39.3310928,8,4,Nevada,-116.6151469,G4000,284329506470,00000000000000000027
0,0,0,0,0,0,0,0,380825.42,0,1833.84,0,427.48,51.51,0,38.5,43.22,0,8397.28,0,0.06,0,779.62,0,0,249.53,0,0,0,1679.94,0,0,29.72,0,0,0,0,3902.38,514.75,0,0,0,3527.38,0,0,47.86,0,0,0,0,0,0,0,0,0,0,0,4.81,0,0,0.78,444.44,116.88,105.63,0,208.14,0,12185.5,7681.8,150365.8,9.76,0,3.65,0,0,0,0,0,0,0,3020.71,3184.67,15644.35,7737.12,6.23,0,2.12,85.2,0,134.12,0,0,96.38,0,0,0,0,1917.27,1365.26,67350.2,0,0,0,0.24,17.93,30.03,198.39,1648.82,641.03,39.72,1.45,0,0,0,85023.38,0,30.54,0,00767982,30,3869208832,00,MT,30,A,+47.0511771,8,4,Montana,-109.6348174,G4000,376962738765,0000000000000000002e
0,16.36,55.18,76.08,0,0.68,0,0,295220.72000000003,0,5578.69,801.18,221.21,38.05,0,0,0.38,0,2643.3,0,0,0,1935.29,5.72,4.39,1273.03,2.64,0.15,0,1207.9,0,0,152.63,3.55,0.91,0.08,0,736.59,61.47,0,0,0,588.62,34.36,0,0,4.0,0,15.61,10.28,2.36,26.9,0,0.68,0,4.69,55.15,0,0,136.16,0,0,0,0,0,1.06,2.78,1778.91,143.27,4232.15,0,18.84,0,0,1.96,0.4,0,31.49,2.72,0,46.16,113.36,2.42,97.44,0,0,8.72,31.34,4.11,1.05,0,0.45,3.49,5.31,10.84,0,0,0,0.08,228429.74,0,0,0,1.73,0,9.65,1.58,41.04,59.42,11.9,6.31,0,0,0.59,44381.86,8.4,25.61,10.27,01779777,04,1027337603,00,AZ,04,A,+34.2039355,8,4,Arizona,-111.6063565,G4000,294198551143,00000000000000000037
0,785.63,746.96,14.38,0,5457.05,1859.06,46.86,410005.50000000006,0,19081.33,1287.91,1081.94,85.66,2250.13,327.01,1.91,0,7662.81,0,192.42,215.76,4655.77,4.15,46.04,8201.52,3.69,3675.95,0,8127.02,6.48,0,1443.47,2.03,1.03,0,0,503.79,1744.73,0,0,0,5441.89,0,0.84,33.58,0,2.02,0.01,66.75,2.01,1.08,144.67,4.21,200.99,1129.88,330.97,3.23,5.73,100.01,0,0,0,240.55,0,0,240.22,3644.73,2072.61,45087.91,0,46.92,0,263.1,508.18,24.1,57.02,143.51,15.18,130.5,226.07,4.0,63.27,1256.6,0,0,26.36,82.88,1631.03,0.56,0.15,100.21,187.89,207.34,65.59,37.74,0,0,10.65,177361.02,1085.31,0,0,22.17,195.36,84.4,164.82,178.91,1421.48,75.21,35.86,1.58,33.59,5.41,89932.67,37.99,5825.57,188.92,01779778,06,20463871877,00,CA,06,A,+37.1551773,9,4,California,-119.5434183,G4000,403503931312,0000000000000000000d
23.33,262.26,0,0,0,0,0.44,137.81,251228.02,0,2876.41,0,495.68,0.66,0,7.34,1.01,0,3005.67,0,81.39,0,1398.89,0.69,19.6,669.61,2.48,45.6,0,1795.45,44.09,8.4,236.88,0,19.4,0.88,0,790.79,1906.78,0,0,0,2319.12,0,0,23.45,0,21.06,0,0,0,0,0.38,16.87,1.34,0,0.83,1.52,1.97,0.19,0,17.63,1.08,0,0,11.26,0,2556.29,2089.87,12082.61,0.32,0.13,0.38,0,0,0,0,4.63,0,0,146.81,0,288.53,2914.95,0,0,6.58,26.34,0,0,0,9.48,57.99,20.61,0,0,0.02,0.32,97.16,117551.58,0,0.38,44.45,59.53,219.63,2472.87,46.3,102.51,151.29,166.31,26.69,0,1.1,1.11,89032.64,1.0,4706.86,92.51,01155107,41,6192386935,00,OR,41,A,+43.9717125,9,4,Oregon,-120.6229578,G4000,248606993270,00000000000000000010
57.18,0,0,0,8.16,0,0.38,91.87,175504.78999999992,0,2676.01,0,1159.82,0.18,0,16.52,1.86,0,6434.36,0,180.61,5.7,3022.88,0.78,1210.76,1293.43,0,466.8,0,2684.73,125.47,0,363.63,0,0,0,0,738.96,716.95,0,0,84.21,2921.22,0,0,477.38,0,10.01,0,0,0.19,0,0.24,0.56,0,0.43,0.37,0,3.37,0,0,229.5,0.12,0.19,0,5.34,0,1889.36,1538.98,6242.83,0.25,2.45,10.3,0,0,0,0,17.56,1.8,0,251.0,0,2241.36,7918.03,0.37,0,1.39,19.54,0,0,9.44,0.74,44.84,19.24,0,0,0.85,229.87,297.12,50436.75,0,99.77,217.01,64.81,2.5,263.81,11.45,967.42,1332.88,782.6,8.08,0,0,0.98,72398.67,0.31,3063.05,126.16,01779804,53,12559278850,00,WA,53,A,+47.4073238,9,4,Washington,-120.5757999,G4000,172112588220,00000000000000000013
0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01779782,15,11777809026,00,HI,15,A,+19.5977643,9,4,Hawaii,-155.5024434,G4000,16633990195,0000000000000000001f
0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01785533,02,245481577452,00,AK,02,A,+63.3473560,9,4,Alaska,-152.8397334,G4000,1478839695958,00000000000000000028
